"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Rondae Hollis-Jefferson,,4.1,3.4,2.6,1.2,1.2,0.3
Donyell Marshall,92.0,4.2,3.8,3.0,1.3,1.3,0.3
Dave Budd,91.2,4.1,3.2,2.3,1.2,0.9,
Jason Caffey,88.8,3.9,3.5,2.7,1.6,0.5,0.4
Jarron Collins,87.9,4.2,3.9,3.3,1.3,1.1,0.7
Scott Williams,87.6,3.9,3.1,2.3,1.7,0.9,0.3
Allan Bristow,87.3,4.3,3.5,2.8,1.9,1.9,0.5
Marv Roberts,87.1,4.3,3.4,2.4,1.2,0.4,-0.2
Frank Brickowski,87.0,4.1,3.8,3.6,1.1,1.0,0.4
Linas Kleiza,86.9,4.7,3.6,2.8,1.5,1.2,-0.3
Eduardo NÃ¡jera,85.8,4.0,4.0,2.7,1.6,1.1,1.1
