"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2010-11,25,IND,NBA,PF,5.0,5.0,164.0,0.333,0.333,0.333,0.889,0.412,0.3,0.0,73.0,68.0,67.0,116.0,76.0,100.0,0.0,
2011-12,26,IND,NBA,PF,11.0,0.0,164.0,0.34,0.34,0.34,0.667,0.405,0.42,0.0,76.0,71.0,70.0,89.0,77.0,152.0,0.0,
2012-13,27,IND,NBA,PF,19.0,0.0,241.0,0.419,0.419,0.419,0.591,0.479,0.71,0.0,93.0,87.0,84.0,78.0,90.0,262.0,0.0,
2013-14,28,TOR,NBA,PF,3.0,0.0,29.0,0.333,0.333,0.333,0.833,0.621,2.0,0.0,73.0,68.0,67.0,110.0,115.0,704.0,0.0,
2014-15,29,TOR,NBA,PF,4.0,2.0,48.0,0.2,0.2,0.2,0.75,0.37,0.8,0.0,45.0,41.0,40.0,100.0,69.0,293.0,0.0,
2015-16,30,CHO,NBA,PF,2.0,0.0,6.0,,,,,,,,,,,,,,,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44.0,7.0,652.0,0.361,0.361,0.361,0.688,0.439,0.517,0.0,80.0,75.0,73.0,91.0,82.0,186.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,35.0,5.0,569.0,0.366,0.366,0.366,0.675,0.436,0.483,0.0,81.0,76.0,74.0,89.0,82.0,174.0,0.0,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,7.0,2.0,77.0,0.25,0.25,0.25,0.8,0.484,1.25,0.0,55.0,51.0,50.0,106.0,90.0,447.0,0.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,2.0,0.0,6.0,,,,,,,,,,,,,,,
