Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,25,IND,NBA,PF,5.0,5.0,164.0,4.4,13.2,0.333,0.0,0.0,4.4,13.2,0.333,0.333,3.5,4.0,0.889,2.9,3.1,5.9,1.1,1.3,0.0,2.0,2.9,12.3,
2011-12,26,IND,NBA,PF,11.0,0.0,164.0,3.7,11.0,0.34,0.0,0.0,3.7,11.0,0.34,0.34,3.1,4.6,0.667,2.6,5.0,7.7,1.3,1.1,0.7,1.8,4.8,10.5,
2012-13,27,IND,NBA,PF,19.0,0.0,241.0,3.9,9.3,0.419,0.0,0.0,3.9,9.3,0.419,0.419,3.9,6.6,0.591,5.4,3.7,9.1,0.7,0.9,0.0,2.2,6.1,11.7,
2013-14,28,TOR,NBA,PF,3.0,0.0,29.0,1.2,3.7,0.333,0.0,0.0,1.2,3.7,0.333,0.333,6.2,7.4,0.833,2.5,5.0,7.4,1.2,0.0,0.0,2.5,9.9,8.7,
2014-15,29,TOR,NBA,PF,4.0,2.0,48.0,0.7,3.7,0.2,0.0,0.0,0.7,3.7,0.2,0.2,2.3,3.0,0.75,0.7,3.8,4.5,2.3,1.5,0.7,1.5,6.0,3.7,
2015-16,30,CHO,NBA,PF,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44.0,7.0,652.0,3.6,9.9,0.361,0.0,0.0,3.6,9.9,0.361,0.361,3.5,5.1,0.688,3.5,3.9,7.5,1.1,1.0,0.2,2.0,5.1,10.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,35.0,5.0,569.0,4.0,10.9,0.366,0.0,0.0,4.0,10.9,0.366,0.366,3.5,5.3,0.675,3.9,3.9,7.8,1.0,1.1,0.2,2.0,4.8,11.5,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,7.0,2.0,77.0,0.9,3.7,0.25,0.0,0.0,0.9,3.7,0.25,0.25,3.7,4.7,0.8,1.4,4.2,5.6,1.9,0.9,0.5,1.9,7.5,5.6,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
