"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Ben Simmons,,9.2,8.2,6.9,6.0,2.2,1.8,1.0
Jon McGlocklin,92.3,8.9,8.2,7.9,5.8,1.8,1.1,0.9
Jerry Stackhouse,89.3,9.2,7.3,5.8,4.7,2.1,1.9,1.2
Glen Combs,89.0,8.7,8.6,6.7,5.1,2.7,2.5,0.0
Ray Williams,88.4,8.2,7.9,7.2,6.2,3.9,1.0,0.9
Paul Seymour,87.8,9.3,8.7,6.7,3.8,3.2,1.8,0.4
Michael Ray Richardson,87.5,8.7,6.9,6.0,5.5,2.4,2.0,0.3
Ricky Pierce,87.3,9.4,8.3,6.7,3.0,2.2,1.8,-0.1
Phil Chenier,86.6,8.8,8.8,7.4,5.8,5.5,1.8,1.4
Doug Collins,86.4,10.0,7.7,7.6,6.2,4.2,1.9,-0.3
Mike Conley,86.2,9.9,8.2,6.6,6.4,4.5,4.0,1.1
