"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2021-22,23,NYK,NBA,PF,41.0,5.0,555.0,0.722,2.0,1.0,0.815,0.148,0.037,0.0,0.0,0.722,0.795,0.5,0.0,,0.795,0.63,33.0,,0.0,0.0,
2022-23,24,NYK,NBA,C,52.0,16.0,812.0,0.776,2.5,0.991,0.832,0.103,0.056,0.0,0.009,0.783,0.831,0.545,0.5,0.0,0.711,0.626,61.0,0.0,1.0,0.0,
2023-24,25,NYK,NBA,C,45.0,11.0,585.0,0.691,2.1,1.0,0.8,0.182,0.018,0.0,0.0,0.691,0.795,0.3,0.0,,0.632,0.582,26.0,,0.0,0.0,
2024-25,26,2TM,NBA,C,53.0,5.0,632.0,0.634,2.5,1.0,0.718,0.239,0.042,0.0,0.0,0.634,0.725,0.412,0.333,,0.8,0.577,35.0,,0.0,0.0,
2024-25,26,NYK,NBA,C,39.0,5.0,422.0,0.609,2.3,1.0,0.696,0.283,0.022,0.0,0.0,0.609,0.75,0.308,0.0,,0.714,0.587,22.0,,0.0,0.0,
2024-25,26,MIL,NBA,C,14.0,0.0,210.0,0.68,2.7,1.0,0.76,0.16,0.08,0.0,0.0,0.68,0.684,0.75,0.5,,0.941,0.56,13.0,,0.0,0.0,
2025-26,27,MIL,NBA,C,16.0,1.0,181.0,0.778,3.3,1.0,0.667,0.222,0.111,0.0,0.0,0.778,0.917,0.5,0.5,,0.786,0.611,10.0,,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,207.0,38.0,2765.0,0.718,2.5,0.997,0.787,0.164,0.046,0.0,0.003,0.72,0.8,0.44,0.357,0.0,0.735,0.607,165.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,15.0,1095.0,0.718,2.5,0.997,0.787,0.164,0.046,0.0,0.003,0.72,0.8,0.44,0.357,0.0,0.735,0.607,65.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (4 Yrs),NYK (4 Yrs),NYK (4 Yrs),NYK (4 Yrs),,177.0,37.0,2374.0,0.718,2.2,0.996,0.798,0.16,0.038,0.0,0.004,0.72,0.804,0.405,0.3,0.0,0.713,0.611,142.0,0.0,1.0,0.0,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,30.0,1.0,391.0,0.721,3.0,1.0,0.721,0.186,0.093,0.0,0.0,0.721,0.774,0.625,0.5,,0.871,0.581,23.0,,0.0,0.0,
