"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Patrick Williams,,3.5,2.5,1.2,0.9,0.4
Anthony Tolliver,92.2,3.3,2.5,1.2,0.9,0.0
Toby Kimball,91.4,3.2,2.5,1.2,1.2,0.4
Matt Bullard,90.2,3.4,2.4,1.0,0.6,0.2
Matt Barnes,90.1,3.7,2.3,1.0,0.7,0.4
Lee Nailon,89.8,3.5,2.2,0.9,0.7,0.3
Darren Daye,88.3,3.8,2.4,1.3,1.2,0.6
Jared Jeffries,87.8,3.1,2.6,1.2,0.6,0.3
George Trapp,87.8,3.5,2.4,1.5,1.0,-0.2
Don Adams,87.4,3.6,2.9,0.9,0.8,0.7
James Singleton,87.1,3.0,2.3,1.1,1.0,0.7
