"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Bruce Brown,,4.8,4.4,4.3,2.2,2.1,1.5,0.7,,,
John Roche,90.7,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,,
Bob Warren,89.5,4.9,4.8,4.0,2.3,1.6,1.6,0.9,0.6,,
Alex Caruso,86.6,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,
Jerry Sichting,86.6,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Coby White,85.8,4.7,4.5,3.1,2.4,2.4,0.9,,,,
Malik Beasley,84.5,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2,
Vincent Askew,84.3,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Jack George,83.0,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,
George Senesky,82.9,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,,
Chico Vaughn,82.8,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,
