"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')"
Stephen Curry,,17.9,15.7,13.4,12.6,11.2,9.7,9.1,9.0,8.0,7.9,7.8,7.2,6.6,4.7,2.2,0.3,,,,
Gary Payton,86.9,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3,,,
Clyde Drexler,86.5,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6.0,2.4,,,,,
Dwyane Wade,85.2,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.4,3.3,2.4,1.1,,,,
Chauncey Billups,84.7,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8.0,7.6,3.7,3.0,2.3,1.7,1.3,0.1,-0.3,,,
Steve Nash,84.4,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7,0.1,,
Jerry West,83.3,17.1,16.7,15.2,14.0,13.3,12.9,12.8,11.7,10.8,10.6,9.6,8.1,6.6,3.2,,,,,,
Kobe Bryant,82.2,15.3,14.9,13.8,13.0,12.7,12.7,11.3,10.9,10.7,10.6,10.3,9.4,8.1,6.3,6.2,5.2,1.8,0.2,-0.4,-0.4
James Harden,82.0,16.4,15.4,15.2,15.0,13.3,13.1,12.8,12.8,9.3,8.4,8.4,8.3,7.6,7.1,7.0,4.5,,,,
Ray Allen,80.6,13.7,11.1,10.7,10.1,10.0,9.7,9.5,9.1,8.9,7.9,7.0,6.9,6.3,5.4,5.2,4.9,4.7,4.1,,
Damian Lillard,80.2,12.6,12.1,11.6,10.6,10.4,10.4,9.6,9.2,9.0,7.7,7.6,5.8,1.7,,,,,,,
