"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Isaiah Roby,,2.9,1.3,0.0,-0.1
Damian Jones,87.8,2.8,1.5,0.1,0.0
Mark Strickland,87.0,2.8,1.0,0.0,0.0
Jeremy Sochan,86.8,2.7,1.4,0.2,
Tom Tolbert,84.8,2.5,1.3,0.1,0.0
Darko MiliÄiÄ,84.7,3.3,1.2,-0.2,-0.2
Lou Amundson,82.3,2.9,1.8,0.1,0.1
Jordan Bell,82.3,2.9,1.6,0.4,0.0
Haywood Highsmith,81.7,3.1,0.9,0.1,0.0
Jake LaRavia,81.3,2.9,1.0,0.5,
Andray Blatche,81.2,3.0,1.4,0.5,0.1
