"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Pascal Siakam,,9.3,8.1,7.8,7.5,6.9,5.4,4.7,4.2,1.6,,,
Rodney McCray,93.1,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,,
Wally Szczerbiak,91.5,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,
Greg Ballard,90.0,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,
Larry Kenon,89.6,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,,
Jack Marin,88.3,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,
Bob Netolicky,87.4,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,,
Tom Heinsohn,87.3,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6.0,3.6,,,
Rudy LaRusso,87.3,8.8,8.6,7.3,7.0,6.9,6.3,5.5,5.4,3.9,1.7,,
Sean Elliott,86.2,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3.0,1.5,1.4,1.4,0.5
Mike Mitchell,85.7,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,,
