"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Trenton Hassell,,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,
Bob Hansen,89.9,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,
Charlie Criss,88.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,
Matisse Thybulle,87.3,3.7,2.8,2.3,2.2,2.1,0.9,,,,
Landry Shamet,86.6,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,
Toney Douglas,84.7,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,,
Daniel Gibson,84.7,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,
Anfernee Simons,84.4,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,,
Quintin Dailey,84.3,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
John Konchar,83.7,4.2,3.5,2.2,1.7,1.5,0.7,,,,
Kent Bazemore,83.1,4.1,2.2,2.1,1.8,1.6,0.7,0.6,0.2,0.1,0.1
