"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Brian Cardinal,,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0.0,0.0,0.0,0.0
Ben Warley,82.4,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,,
Terrence Jones,81.7,7.3,3.0,2.3,1.5,0.7,-0.1,,,,,,
Josh McRoberts,74.5,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0.0,
Larry Krystkowiak,73.5,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,,,
Toby Knight,72.9,7.3,5.7,1.6,1.1,,,,,,,,
Monk Meineke,72.1,6.1,3.7,2.6,1.8,0.7,,,,,,,
Don May,72.0,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,,,,
Tyler Zeller,71.9,6.5,2.9,2.6,2.0,1.7,1.0,0.3,0.0,,,,
Gary Bradds,71.3,8.0,3.6,3.4,0.5,0.3,0.0,,,,,,
Tim Perry,70.1,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,,,,
