Season,Team,Lg,Salary
2000-01,Detroit Pistons,NBA,"$316,969"
2001-02,Detroit Pistons,NBA,"$465,850"
2002-03,Washington Wizards,NBA,"$587,435"
2003-04,Golden State Warriors,NBA,"$663,679"
2004-05,Memphis Grizzlies,NBA,"$4,903,000"
2005-06,Memphis Grizzlies,NBA,"$5,393,300"
2006-07,Memphis Grizzlies,NBA,"$5,400,000"
2007-08,Memphis Grizzlies,NBA,"$5,850,000"
2008-09,Minnesota Timberwolves,NBA,"$6,300,000"
2009-10,New York Knicks,NBA,"$6,750,000"
2010-11,Dallas Mavericks,NBA,"$1,352,181"
2011-12,Dallas Mavericks,NBA,"$1,352,181"
Career,(may be incomplete),,"$39,334,595"
