"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Anthony Edwards,,8.4,7.5,4.3,3.8,0.8
B.J. Armstrong,90.9,7.5,7.5,4.6,4.1,1.7
Richie Guerin,90.9,8.4,7.4,5.4,3.5,1.7
Richard Hamilton,90.7,8.1,7.3,4.0,2.4,0.7
John Wall,90.7,7.9,7.8,4.5,3.5,2.2
Tyrese Maxey,90.1,8.1,7.3,5.4,3.8,1.9
John Logan,88.7,9.2,8.3,5.2,4.3,1.0
Latrell Sprewell,88.1,8.1,8.0,5.5,4.0,2.0
Mike Woodson,87.2,7.8,5.7,4.2,4.2,0.9
Jalen Brunson,87.0,8.7,7.5,5.1,2.6,2.1
JosÃ© CalderÃ³n,86.8,10.2,7.5,5.4,4.2,0.9
