"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Chimezie Metu,,2.1,1.5,1.5,0.6,0.3,-0.3
Togo Palazzi,84.9,2.0,1.7,1.6,0.8,0.6,-0.2
Jeremiah Robinson-Earl,84.8,1.9,1.7,1.5,0.6,,
Thon Maker,83.8,2.0,1.5,1.5,1.3,0.3,
Dorie Murrey,81.4,2.2,1.9,1.6,0.5,0.2,0.1
Bob Brannum,80.2,2.0,1.6,1.1,0.8,0.0,
Trendon Watford,80.0,2.1,1.9,1.8,0.7,,
Johnny Baum,79.7,2.0,1.9,1.5,0.4,-0.1,
Semi Ojeleye,78.8,1.9,1.2,1.2,0.7,0.2,
Al Thornton,78.2,2.2,1.6,1.3,1.1,,
James Hardy,76.0,2.5,1.8,1.3,0.7,,
