"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Dejounte Murray,,7.3,4.9,4.7,3.3,3.2,2.6,0.2,0.0,,
Bobby Phills,90.0,7.1,5.0,4.0,3.5,3.2,3.0,1.5,-0.1,-0.1,
Dick Garmaker,89.0,7.5,4.7,4.6,4.4,3.1,1.3,,,,
Grayson Allen,85.0,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,
Gene Littles,84.8,7.7,4.8,4.2,3.6,1.6,1.4,,,,
Paul Neumann,83.8,6.5,5.8,4.6,4.2,4.0,3.2,,,,
Vincent Askew,82.7,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Travis Best,82.4,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7
Larry Drew,82.3,7.2,4.6,3.6,3.0,2.8,1.4,1.2,0.5,0.1,0.0
Johnny Moore,82.1,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,
Victor Oladipo,82.1,8.2,4.9,4.0,3.5,2.3,1.3,0.6,0.4,0.4,0.0
