"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Rudy Gobert,,14.4,14.3,11.7,11.6,11.3,10.7,10.1,9.3,8.1,7.8,6.4,0.4,,,,,,
Walt Bellamy,89.6,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,,,,
Patrick Ewing,86.7,13.5,13.1,13.0,10.9,10.6,10.0,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3.0,2.0,1.4,
Zelmo Beaty,85.4,16.0,15.1,11.8,10.8,10.3,9.0,8.4,7.7,5.2,4.8,4.5,2.3,,,,,,
Bob Lanier,83.4,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,,,,
Pau Gasol,81.4,14.7,13.9,12.0,11.0,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,6.4,6.0,3.7,3.0,1.1
Wes Unseld,81.0,11.1,10.8,10.7,10.6,10.0,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,,,,,
Dwight Howard,80.1,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8.0,7.7,7.6,7.3,6.8,6.6,5.4,4.0,3.6,3.5,0.6
Hakeem Olajuwon,79.7,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,6.5,5.0,4.5,2.1,1.6
Dan Issel,79.1,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1,4.3,,,
Nikola JokiÄ,78.6,17.0,16.4,15.6,15.2,14.9,11.8,10.7,9.8,9.7,6.7,,,,,,,,
