"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Mark Williams,,4.7,2.8,2.1,,,
Lee Knorek,88.3,5.1,2.5,1.7,0.0,,
Mike Sojourner,85.1,4.7,2.7,0.9,,,
Joe Strawder,80.7,4.3,3.6,3.0,,,
Ed Johnson,79.8,5.1,2.4,1.0,,,
Jamie Feick,75.7,4.8,2.2,0.9,0.2,0.2,
George Peeples,75.2,4.1,3.2,2.1,1.5,0.2,0.0
Craig Raymond,74.5,4.7,1.7,1.0,0.0,0.0,
Todd MacCulloch,74.2,5.6,2.5,2.2,1.7,,
Greg Oden,74.0,4.6,2.2,0.5,,,
Tom Hoover,73.1,4.4,2.6,0.4,0.1,0.0,
