"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Peyton Watson,,2.5,2.5,0.3,,,
Nikola JoviÄ,88.1,2.5,1.9,0.2,,,
Tex Ritter,82.6,2.4,2.3,1.0,,,
Kendrick Nunn,81.8,2.9,2.0,0.2,,,
Ãlex Abrines,80.6,2.2,2.1,0.6,,,
Chris Quinn,79.3,2.6,2.1,0.6,0.1,0.1,-0.2
Rodrigue Beaubois,78.1,2.2,2.0,0.4,0.2,,
Louie Nelson,77.5,2.9,2.3,1.1,0.0,0.0,
Maurice McHartley,76.4,2.4,1.8,0.8,,,
Kevin Porter Jr.,76.2,2.9,2.2,0.8,0.3,0.0,
Casey Jacobsen,76.1,2.7,2.6,1.2,-0.3,,
