"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Peyton Watson,,2.5,2.5,0.3
Josh Green,93.7,2.6,2.4,0.5
Mo Williams,92.4,2.5,2.2,0.2
Lorenzo Romar,92.0,2.7,2.6,0.5
Eldridge Recasner,91.7,2.6,2.5,0.0
Haywoode Workman,90.9,2.8,2.5,0.1
George Lehmann,89.9,2.5,2.3,0.0
Brandon Rush,88.5,2.6,2.5,0.9
Nikola JoviÄ,88.1,2.5,1.9,0.2
Shake Milton,87.9,2.8,2.1,0.3
Garrison Mathews,87.6,2.8,2.3,0.6
