Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2003-04,23,NJN,NBA,SG,8,0,32,3,12,0.25,0,1,0.0,3,11,0.273,0.25,0,0,1,1,2,3,1,0,0,4,6,0,
1 Yr,1 Yr,1 Yr,1 Yr,,8,0,32,3,12,0.25,0,1,0.0,3,11,0.273,0.25,0,0,1,1,2,3,1,0,0,4,6,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,328,31,123,0.25,0,10,0.0,31,113,0.273,0.25,0,0,10,10,21,31,10,0,0,41,62,0,
