Season,Team,Lg,Salary
2019-20,Atlanta Hawks,NBA,"$7,068,360"
2020-21,Atlanta Hawks,NBA,"$7,422,000"
2021-22,Atlanta Hawks,NBA,"$7,775,400"
2022-23,Atlanta Hawks,NBA,"$9,835,881"
2023-24,Atlanta Hawks,NBA,"$20,089,286"
2024-25,Cleveland Cavaliers,NBA,"$21,696,429"
Career,(may be incomplete),,"$73,887,356"
