"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Cole Anthony,,3.7,3.6,2.0,1.6,0.0
Sasha VujaÄiÄ,97.1,3.7,3.6,2.0,1.8,0.2
Devin Brown,94.9,3.7,3.5,1.7,1.4,-0.1
De'Anthony Melton,91.4,4.2,3.7,2.2,1.7,0.0
Pablo Prigioni,88.8,3.4,3.2,2.3,1.5,
Charlie Bell,88.4,4.0,3.3,2.2,1.3,-0.2
Bryn Forbes,88.3,3.8,2.7,2.1,1.5,0.1
John Konchar,86.9,4.2,3.5,2.2,1.7,0.7
Jim King,86.8,3.7,3.5,2.3,1.5,1.1
Tyler Herro,86.5,3.8,3.5,2.0,1.7,1.6
Jerryd Bayless,85.9,4.0,2.7,2.0,1.6,0.3
