"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Lonzo Ball,,3.2,2.4,2.2,2.0,1.6,1.2,,,,
Marko JariÄ,89.8,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,
Landry Shamet,86.4,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,
Quintin Dailey,85.5,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
Matisse Thybulle,85.3,3.7,2.8,2.3,2.2,2.1,0.9,,,,
Cameron Payne,83.5,3.6,2.4,2.3,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Shake Milton,82.8,2.9,2.8,2.1,1.7,1.3,0.6,0.3,,,
Anfernee Simons,82.7,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,,
Mike McGee,81.9,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,
Josh Okogie,81.1,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,,
George Dempsey,80.8,3.5,2.2,2.1,1.5,1.4,,,,,
