"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Richaun Holmes,,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,,,
Greg Ostertag,90.8,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,
Kent Benson,89.6,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,,,
Andrew Lang,89.0,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,
Matt Geiger,88.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,,,
Cody Zeller,88.8,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,,,
Kelvin Cato,86.5,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,,,,,
Gorgui Dieng,86.2,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0,,,,,
Benoit Benjamin,85.8,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0,0.0,-0.1
Nerlens Noel,85.8,5.2,4.9,4.3,4.0,4.0,3.0,1.5,1.3,0.0,,,,,,
Kosta Koufos,85.2,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0.0,,,,
