"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Bernard James,,1.2,0.5,0.1,,
Daniel Santiago,88.2,1.2,0.6,0.0,0.0,
Jason Collier,86.5,1.2,0.4,0.3,0.0,0.0
Keith Closs,84.9,1.1,0.6,0.2,,
Rich Johnson,77.4,1.2,0.9,0.1,,
Granville Waiters,77.3,1.3,0.5,0.2,0.0,-0.2
Olivier Sarr,75.3,1.0,0.4,0.2,,
P̩tur Gu̡mundsson,74.5,1.4,0.6,0.3,-0.1,
Josh Harrellson,74.5,1.4,0.7,0.0,,
Udoka Azubuike,73.1,1.0,0.6,0.2,0.1,
Hank Beenders,70.8,1.1,0.9,-0.1,,
