"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Bernard James,,1.2,0.5,0.1
Eric Fernsten,91.2,1.2,0.5,0.0
Daniel Santiago,88.0,1.2,0.6,0.0
Keith Closs,84.9,1.1,0.6,0.2
Udoka Azubuike,83.0,1.0,0.6,0.1
P̩tur Gu̡mundsson,80.7,1.4,0.6,0.3
Rich Johnson,77.4,1.2,0.9,0.1
Olivier Sarr,75.3,1.0,0.4,0.2
Josh Harrellson,74.5,1.4,0.7,0.0
Steve Hayes,73.0,1.2,0.9,0.3
Dick Cunningham,72.9,1.2,1.0,0.0
