Season,Team,Lg,Salary
2017-18,Memphis Grizzlies,NBA,"$950,000"
2018-19,Memphis Grizzlies,NBA,"$1,378,242"
2019-20,Memphis Grizzlies,NBA,"$371,758"
Career,(may be incomplete),,"$2,700,000"
