"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Matisse Thybulle,,3.7,2.8,2.3,2.2,2.1,0.9,,,,
Charlie Criss,92.9,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,
Trenton Hassell,87.3,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,
RJ Barrett,86.5,4.1,2.9,2.4,2.3,2.2,-0.5,,,,
Lonzo Ball,85.3,3.2,2.4,2.2,2.0,1.6,1.2,,,,
Quintin Dailey,84.6,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
Landry Shamet,84.5,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,
Anfernee Simons,84.2,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,,
Bob Hansen,84.1,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,
Billy McKinney,84.1,3.4,3.3,3.0,2.7,2.3,0.9,0.1,,,
Mike McGee,84.0,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,
