Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2017-18,21,NOP,NBA,PF,7,0,48,4.9,11.7,0.417,0.0,0.0,4.9,11.7,0.417,0.417,0.0,0.0,3.9,4.9,8.8,0.0,1.0,1.0,1.0,8.8,9.7,92,110,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,48,4.9,11.7,0.417,0.0,0.0,4.9,11.7,0.417,0.417,0.0,0.0,3.9,4.9,8.8,0.0,1.0,1.0,1.0,8.8,9.7,92,110,
