Season,Team,Lg,Salary
2022-23,Memphis Grizzlies,NBA,(TW)
2023-24,Memphis Grizzlies,NBA,"$2,232,308"
2023-24,Memphis Grizzlies,NBA,(TW)
2024-25,Memphis Grizzlies,NBA,"$2,120,693"
Career,(may be incomplete),,"$4,353,001"
