"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Zach Collins,,2.9,2.7,2.2,1.8,1.2,0.6,0.3
Jake Voskuhl,88.9,3.3,2.7,2.5,1.7,1.0,0.6,0.0
Meyers Leonard,88.8,3.0,2.8,2.4,2.2,1.4,1.1,0.6
Michael Doleac,87.5,3.0,2.2,1.9,1.7,1.5,0.3,0.3
Harvey Catchings,85.5,3.1,2.6,2.3,1.7,1.4,1.2,1.1
Steven Hunter,85.3,2.8,2.6,2.5,1.0,0.9,0.6,0.1
Sean Rooks,85.3,3.0,2.2,1.8,1.8,1.5,1.1,0.3
Ekpe Udoh,85.2,3.2,2.7,2.1,1.6,0.7,0.3,0.0
Joe Kleine,84.9,3.1,2.6,2.6,2.3,1.2,1.0,0.9
Francisco Elson,83.8,3.1,2.9,1.8,1.8,1.6,0.0,0.0
Vitaly Potapenko,83.8,3.4,3.1,2.5,2.2,1.5,0.5,0.2
