"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Solomon Jones,,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1
Lamar Stevens,94.4,1.9,1.6,0.8,0.4,0.2,,,
Ben Coleman,87.8,2.0,1.8,0.8,0.5,0.0,,,
Reggie Slater,85.1,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Henry Walker,81.8,1.9,1.1,0.9,0.5,0.5,,,
Donnell Harvey,81.7,2.0,1.8,0.7,0.2,0.1,,,
Chuma Okeke,81.7,2.2,1.3,0.7,0.6,0.3,,,
Bob Brannum,81.4,2.0,1.6,1.1,0.8,0.0,,,
Bob Portman,81.1,1.9,1.2,0.8,0.5,,,,
Bol Bol,80.9,2.3,1.6,0.9,0.1,0.1,0.0,,
Tony Brown,80.5,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
