"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Spencer Dinwiddie,,6.3,5.7,4.8,4.8,4.1,3.7,3.6,2.8,0.1,0.1,0.1,
Jim Barnett,91.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
K.C. Jones,90.2,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,,
Bojan BogdanoviÄ,89.0,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,
Brian Winters,88.8,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,
Luke Ridnour,88.6,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Malcolm Brogdon,87.8,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7,,,
John Paxson,87.5,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,
Mario Chalmers,86.6,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,,,
Jamal Murray,86.6,6.2,5.9,5.5,5.1,5.1,4.6,4.3,1.3,,,,
Tyus Jones,85.7,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3,,
