"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
James Wiseman,,2.1,1.4,0.7,0.0
Kendrick Perkins,94.8,2.3,1.4,0.7,0.1
Paul Mokeski,84.6,1.7,1.4,0.8,-0.1
Charlie Tyra,82.6,2.3,1.5,1.1,-0.2
Adonal Foyle,81.7,1.9,1.1,0.7,-0.1
Joffrey Lauvergne,81.5,2.3,1.5,1.3,0.1
Justin Hamilton,80.6,2.1,1.5,0.1,
Eric Leckner,80.4,1.7,1.5,0.9,0.2
Mark West,79.8,1.9,1.1,0.9,-0.1
Jermaine O'Neal,78.4,2.1,1.2,0.8,0.8
Henry Sims,77.2,2.1,2.1,0.4,0.0
