"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 20_level_0', 'Awards')"
2002-03,24,MIN,NBA,C,2.0,0.0,2.0,0.333,0.333,0.333,0.333,0.0,0.0,75.0,72.0,70.0,64.0,0.0,0.0,
2003-04,25,MIA,NBA,C,1.0,0.0,2.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2007-08,29,HOU,NBA,C,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,219.0,206.0,201.0,185.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,4.0,0.0,5.0,0.5,0.5,0.5,0.5,0.0,0.0,112.0,106.0,103.0,94.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,2.0,0.0,2.0,0.333,0.333,0.333,0.333,0.0,0.0,75.0,72.0,70.0,64.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,219.0,206.0,201.0,185.0,0.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,1.0,0.0,2.0,,,,,,,,,,,,,
