"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Justin Hamilton,,2.1,1.5,0.1,,,
Irv Rothenberg,82.1,2.3,1.6,-0.2,,,
James Wiseman,80.6,2.1,1.4,0.7,0.0,,
Henry Sims,79.1,2.1,2.1,0.4,0.0,,
Audie Norris,76.1,1.9,1.1,-0.1,,,
Hasheem Thabeet,75.0,2.2,2.0,0.3,0.3,0.0,
Zendon Hamilton,73.4,1.8,1.1,0.1,0.1,0.0,0.0
Omer Yurtseven,70.9,2.1,0.7,0.3,,,
Pete Cross,70.8,2.6,1.8,-0.2,,,
Joffrey Lauvergne,68.2,2.3,1.5,1.3,0.1,,
David Harrison,67.4,1.5,1.4,0.4,-0.2,,
