"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Morris Almond,,0.1,0.0,-0.1
Ira Bowman,-24.5,0.1,0.1,0.0
Jarell Eddie,-29.8,0.1,0.1,0.0
Lindell Wigginton,-36.6,0.2,0.1,0.0
Devon Dotson,-43.9,0.2,0.1,0.0
Awvee Storey,-49.7,0.2,0.1,0.0
Dwight Buycks,-51.4,0.2,0.1,0.0
Gerald Madkins,-57.2,0.3,0.1,0.0
Jay Arnette,-58.7,0.1,0.1,-0.1
Michael Phelps,-59.8,0.3,0.1,-0.1
Demetrius Jackson,-61.7,0.2,0.1,-0.1
