"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jalen Smith,,4.0,2.9,2.8,2.3,0.1,
Reggie Johnson,89.4,3.9,3.0,2.4,1.6,,
Frank Card,88.9,4.2,2.6,2.4,1.9,0.1,
Jonathan Kuminga,87.3,4.6,3.0,2.4,1.9,,
Eddie Griffin,86.6,3.9,3.2,2.4,1.5,-0.2,
Tom Abernethy,86.2,4.1,3.7,3.1,2.0,0.4,
Derrek Dickey,86.1,3.8,3.1,2.3,1.7,0.3,
Jonathan Isaac,85.9,4.0,3.6,3.4,2.5,0.3,0.2
Richard Washington,85.8,3.9,3.2,2.1,2.0,0.0,-0.5
Bob Doll,84.4,4.0,2.8,1.8,1.6,,
Aaron James,80.7,4.3,2.9,2.2,2.1,1.7,
