Season,Team,Lg,Salary
2010-11,Los Angeles Clippers,NBA,"$2,563,320"
2011-12,New Orleans Hornets,NBA,"$2,755,560"
2012-13,New Orleans Hornets,NBA,"$2,947,800"
2013-14,New Orleans Pelicans,NBA,"$3,700,000"
2014-15,Dallas Mavericks,NBA,"$981,084"
2015-16,Portland Trail Blazers,NBA,"$7,500,000"
2016-17,Portland Trail Blazers,NBA,"$7,680,965"
2017-18,Portland Trail Blazers,NBA,"$7,319,035"
2018-19,Portland Trail Blazers,NBA,"$6,957,105"
2019-20,Orlando Magic,NBA,"$9,258,000"
2020-21,Chicago Bulls,NBA,"$9,720,900"
2021-22,San Antonio Spurs,NBA,"$10,183,800"
2021-22,Boston Celtics,NBA,"$151,821"
Career,(may be incomplete),,"$71,719,390"
