Season,Team,Lg,Salary
2000-01,Los Angeles Clippers,NBA,"$2,841,720"
2001-02,Los Angeles Clippers,NBA,"$3,054,840"
2002-03,Cleveland Cavaliers,NBA,"$3,267,960"
2003-04,Cleveland Cavaliers,NBA,"$4,130,701"
2004-05,Portland Trail Blazers,NBA,"$6,750,000"
2005-06,Portland Trail Blazers,NBA,"$7,250,000"
2006-07,Portland Trail Blazers,NBA,"$7,750,000"
2007-08,Portland Trail Blazers,NBA,"$8,250,000"
2008-09,Portland Trail Blazers,NBA,"$9,000,000"
2008-09,Memphis Grizzlies,NBA,"$704,752"
2009-10,Portland Trail Blazers,NBA,"$9,000,000"
Career,(may be incomplete),,"$61,999,973"
