Season,Team,Lg,Salary
2006-07,Chicago Bulls,NBA,"$3,260,760"
2007-08,Chicago Bulls,NBA,"$3,505,320"
2008-09,Chicago Bulls,NBA,"$3,749,880"
2009-10,Charlotte Bobcats,NBA,"$4,743,598"
2010-11,Charlotte Bobcats,NBA,"$6,611,570"
2011-12,Charlotte Bobcats,NBA,"$7,305,765"
2012-13,Charlotte Bobcats,NBA,"$8,000,000"
2014-15,Charlotte Hornets,NBA,"$9,388,000"
2014-15,Memphis Grizzlies,NBA,"$72,234"
Career,(may be incomplete),,"$46,637,127"
