"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Terrence Jones,,7.3,3.0,2.3,1.5,0.7,-0.1,,,,,,
Brian Cardinal,81.7,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0.0,0.0,0.0,0.0
Jim Baechtold,81.3,6.0,3.2,2.6,2.1,0.9,,,,,,,
Monk Meineke,81.2,6.1,3.7,2.6,1.8,0.7,,,,,,,
Neil Johnson,80.1,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,,,,,
Tyler Zeller,76.6,6.5,2.9,2.6,2.0,1.7,1.0,0.3,0.0,,,,
KJ Martin,76.3,4.9,2.9,2.2,1.3,1.1,,,,,,,
Larry Krystkowiak,75.3,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,,,
Gary Bradds,74.8,8.0,3.6,3.4,0.5,0.3,0.0,,,,,,
Paul Reed,73.9,5.1,2.8,1.6,1.3,0.6,,,,,,,
Tom Boswell,72.7,5.6,3.7,2.7,2.4,0.6,0.2,,,,,,
