Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,21,MIA,NBA,PF,3.0,0.0,12.0,12.1,16.2,0.75,0.0,0.0,,12.1,16.2,0.75,0.75,4.0,16.2,0.25,0.0,24.3,24.3,0.0,0.0,8.1,16.2,4.0,28.3,56.0,99.0,
2021-22,22,TOR,NBA,C,6.0,1.0,167.0,7.9,16.4,0.481,1.6,5.0,0.313,6.3,11.3,0.556,0.529,1.9,3.2,0.6,2.5,6.6,9.1,1.9,0.3,1.6,2.8,4.4,19.2,102.0,122.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,24,NYK,NBA,PF,9.0,2.0,184.0,6.0,12.2,0.488,0.0,0.9,0.0,6.0,11.4,0.525,0.488,1.4,3.7,0.385,6.2,4.5,10.8,1.4,1.1,3.4,1.1,5.7,13.3,115.0,120.0,
2024-25,25,NYK,NBA,C,8.0,0.0,34.0,8.9,20.7,0.429,0.0,1.5,0.0,8.9,19.2,0.462,0.429,3.0,5.9,0.5,4.4,8.9,13.3,0.0,1.5,0.0,1.5,3.0,20.7,97.0,114.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,26.0,3.0,397.0,7.2,14.8,0.487,0.7,2.6,0.25,6.6,12.2,0.538,0.509,1.8,4.1,0.452,4.3,6.4,10.8,1.4,0.8,2.5,2.4,4.9,16.9,103.0,119.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,17.0,2.0,218.0,6.4,13.6,0.474,0.0,1.0,0.0,6.4,12.6,0.509,0.474,1.7,4.0,0.412,6.0,5.2,11.2,1.2,1.2,2.9,1.2,5.2,14.5,111.0,119.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,6.0,1.0,167.0,7.9,16.4,0.481,1.6,5.0,0.313,6.3,11.3,0.556,0.529,1.9,3.2,0.6,2.5,6.6,9.1,1.9,0.3,1.6,2.8,4.4,19.2,102.0,122.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,3.0,0.0,12.0,12.1,16.2,0.75,0.0,0.0,,12.1,16.2,0.75,0.75,4.0,16.2,0.25,0.0,24.3,24.3,0.0,0.0,8.1,16.2,4.0,28.3,56.0,99.0,
