"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Precious Achiuwa,,3.4,2.5,2.3,2.2,1.3,,,
Al Tucker,94.0,3.5,2.3,2.3,2.1,1.1,,,
E.C. Coleman,89.0,3.2,2.7,2.6,2.5,1.7,0.1,,
Dean Wade,88.4,3.0,2.5,2.3,2.0,1.8,0.2,,
Don Ford,87.4,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,
Mark Landsberger,86.7,3.4,2.2,2.2,1.9,1.7,0.4,0.3,
Chuck Cooper,86.2,3.3,3.1,2.4,1.7,1.1,0.0,,
Scott Padgett,86.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Marvin Bagley III,86.0,3.6,2.7,2.0,2.0,1.4,0.6,0.4,
Aaron James,85.5,4.3,2.9,2.2,2.1,1.7,,,
De'Andre Hunter,84.2,4.4,2.5,2.2,1.7,1.1,0.1,,
