"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jordan Hill,,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0.0,,,
Mo Bamba,82.9,4.5,2.5,2.2,2.0,1.8,1.7,1.0,,,,
Mike Brown,81.8,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,0.2,0.1,-0.4
Dan Gadzuric,81.6,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,
Jerome Whitehead,81.0,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Len Elmore,79.6,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,
Jim Davis,78.9,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,
Bob Ferry,78.3,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,
Nat Clifton,77.6,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,,
Luc Longley,76.4,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,
Lee Davis,76.0,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,,
