"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Gerald Wallace,,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
Rodney McCray,87.9,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,,,,
Terry Dischinger,87.5,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,,,,,
Bob Boozer,86.5,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,,
Nen̻,86.1,10.8,9.6,9.3,6.1,5.3,5.0,4.0,3.2,3.2,3.0,2.7,2.7,0.3,-0.1
Gordon Hayward,85.9,10.4,8.9,8.7,5.7,5.4,4.9,4.9,3.6,3.5,2.8,2.0,1.5,1.2,0.0
Bob Love,85.0,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2,,,
Sean Elliott,84.6,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3.0,1.5,1.4,1.4,0.5,,
Wally Szczerbiak,84.5,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,,,
Christian Laettner,84.3,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7,
Jack Marin,84.2,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,,,
