"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Kevin Huerter,,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,,,
Jim Price,92.7,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
Carlos Arroyo,89.9,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,
Herm Gilliam,89.7,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Keith Bogans,88.5,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0.0
Maurice Evans,88.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,
Greg Buckner,87.5,4.8,3.8,3.1,2.3,2.2,2.0,1.8,0.3,0.3,0.1,
Darnell Valentine,86.7,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,
Todd Day,86.2,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,,,
Jerry Sichting,85.6,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,
Rod Thorn,85.4,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,
