"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ruben Boumtje-Boumtje,,0.2,0.0,0.0,
Vernon Carey Jr.,64.7,0.2,0.1,0.0,
Joe Cooper,38.8,0.2,0.1,0.0,
Robert Werdann,38.4,0.2,0.0,-0.1,
Gary Leonard,34.4,0.1,0.0,0.0,
Arinze Onuaku,22.2,0.3,0.0,0.0,
Dan O'Sullivan,19.9,0.1,0.1,0.0,0.0
Mouhamed Sene,17.9,0.2,0.2,0.0,
Marques Bolden,14.7,0.3,0.0,0.0,
Tom Riker,11.6,0.2,0.2,0.0,
Justin Patton,-7.9,0.4,0.0,0.0,0.0
