Season,Team,Lg,Salary
2003-04,Golden State Warriors,NBA,"$1,527,946"
2004-05,Golden State Warriors,NBA,"$1,785,960"
2005-06,Golden State Warriors,NBA,"$1,910,520"
2006-07,Golden State Warriors,NBA,"$2,535,260"
2007-08,Golden State Warriors,NBA,"$3,470,770"
2008-09,Orlando Magic,NBA,"$5,300,000"
2009-10,Orlando Magic,NBA,"$5,300,000"
2010-11,Phoenix Suns,NBA,"$5,300,000"
2011-12,Phoenix Suns,NBA,"$5,300,000"
2011-12,Boston Celtics,NBA,"$1,223,166"
2012-13,Toronto Raptors,NBA,"$1,005,097"
Career,(may be incomplete),,"$34,658,719"
