"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
MickaÃ«l PiÃ©trus,,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0
Jim King,88.5,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1
Tyronn Lue,87.5,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.4,0.3,0.2
Rod Thorn,87.2,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,
Gerald Henderson,86.6,3.6,3.6,3.3,2.4,2.0,2.0,1.0,0.4,,
Calbert Cheaney,86.5,4.1,3.9,3.2,3.2,2.8,1.2,1.2,0.8,0.4,-0.1
Fatty Taylor,86.1,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,
Shaun Livingston,85.9,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Marcus Thornton,85.6,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5,,
Keith Bogans,85.1,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.0
Alec Burks,84.0,3.7,3.3,3.2,1.9,1.7,1.5,1.5,1.5,1.0,0.8
