Season,Team,Lg,Salary
2022-23,San Antonio Spurs,NBA,"$2,925,600"
2023-24,San Antonio Spurs,NBA,"$3,071,880"
2024-25,San Antonio Spurs,NBA,"$3,217,920"
Career,(may be incomplete),,"$9,215,400"
