Season,Team,Lg,Salary
2008-09,Orlando Magic,NBA,"$1,176,240"
2009-10,New Jersey Nets,NBA,"$1,264,440"
2010-11,Houston Rockets,NBA,"$1,409,040"
2011-12,Houston Rockets,NBA,"$2,225,093"
2012-13,Boston Celtics,NBA,"$5,000,000"
2013-14,Memphis Grizzlies,NBA,"$5,225,000"
2014-15,Memphis Grizzlies,NBA,"$5,450,000"
2015-16,Charlotte Hornets,NBA,"$5,675,000"
2016-17,New York Knicks,NBA,"$11,242,000"
2017-18,New York Knicks,NBA,"$11,747,890"
2018-19,Dallas Mavericks,NBA,"$12,253,780"
2019-20,Dallas Mavericks,NBA,"$12,759,670"
Career,(may be incomplete),,"$75,428,153"
