"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Ty Jerome,,5.9,2.1,1.3,0.5,0.0,0.0,,,,,
Matt Maloney,86.4,5.3,2.2,1.5,0.7,0.1,-0.3,,,,,
Michael Dickerson,83.9,5.5,2.2,1.8,0.1,-0.1,,,,,,
Gene Vance,82.8,5.3,2.2,1.6,1.3,0.0,,,,,,
Ed Fleming,77.5,5.0,2.0,1.2,1.0,0.8,,,,,,
Don Carlson,77.0,5.8,2.8,2.6,0.2,,,,,,,
Jalen Green,76.8,5.1,3.1,1.8,0.7,,,,,,,
Dyson Daniels,76.1,5.0,2.9,1.3,,,,,,,,
Jason Hart,75.7,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3,,
Troy Hudson,75.4,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0.0,-0.1,-0.2
Johnny Neumann,72.7,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,,
