"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Ty Jerome,,5.9,2.1,1.3,0.5,0.0,0.0
Matt Maloney,86.4,5.3,2.2,1.5,0.7,0.1,-0.3
George McCloud,84.4,5.8,2.3,1.4,0.9,-0.4,-0.7
Michael Dickerson,83.9,5.5,2.2,1.8,0.1,-0.1,
Gene Vance,82.8,5.3,2.2,1.6,1.3,0.0,
Darrick Martin,80.6,4.6,1.9,1.3,0.5,0.2,0.1
Fred Hoiberg,79.7,5.9,2.3,2.1,1.8,0.2,0.0
Patty Mills,79.7,5.6,1.5,1.4,0.9,0.7,0.0
Jason Hart,79.2,4.8,1.9,1.5,0.3,0.1,0.0
Ed Fleming,77.5,5.0,2.0,1.2,1.0,0.8,
Don Carlson,77.0,5.8,2.8,2.6,0.2,,
