"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2016-17,22,POR,NBA,C,1.0,1.0,17.0,0.333,11.9,0.667,0.333,0.333,0.0,0.0,0.333,0.5,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2017-18,23,POR,NBA,C,4.0,4.0,94.0,0.487,4.3,1.0,0.615,0.256,0.0,0.128,0.0,0.487,0.542,0.5,,0.2,,0.316,,0.077,3.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,25,POR,NBA,C,5.0,5.0,161.0,0.439,8.5,0.807,0.456,0.281,0.053,0.018,0.193,0.478,0.731,0.188,0.0,0.0,0.273,0.455,1.0,0.158,8.0,0.0,0.0,0.0,
2020-21,26,POR,NBA,C,6.0,6.0,173.0,0.545,5.5,0.909,0.455,0.436,0.0,0.018,0.091,0.58,0.72,0.458,,0.0,0.2,0.69,1.0,0.055,3.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,29,PHO,NBA,C,4.0,4.0,104.0,0.5,5.5,0.923,0.577,0.269,0.038,0.038,0.077,0.542,0.733,0.286,0.0,0.0,0.0,0.923,,0.115,3.0,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,20.0,20.0,549.0,0.489,7.1,0.894,0.506,0.322,0.022,0.044,0.106,0.522,0.67,0.379,0.0,0.125,0.211,0.571,1.0,0.1,17.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2251.0,0.489,7.1,0.894,0.506,0.322,0.022,0.044,0.106,0.522,0.67,0.379,0.0,0.125,0.211,0.571,1.0,0.1,70.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),POR (4 Yrs),,16.0,16.0,445.0,0.487,7.5,0.89,0.494,0.331,0.019,0.045,0.11,0.518,0.658,0.392,0.0,0.143,0.235,0.507,1.0,0.097,14.0,0.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,104.0,0.5,5.5,0.923,0.577,0.269,0.038,0.038,0.077,0.542,0.733,0.286,0.0,0.0,0.0,0.923,,0.115,3.0,0.0,0.0,0.0,
