"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Sam Dekker,,3.1,1.2,1.0,0.0,0.0,,
Sam Young,89.9,2.9,1.2,0.9,0.2,,,
Rowland Garrett,83.9,3.1,1.1,0.8,0.5,-0.1,,
John Trapp,83.8,3.3,1.2,1.2,0.6,0.0,,
Willie Reed,82.9,3.6,1.5,1.2,,,,
Charles Jones,82.0,2.9,0.9,0.6,0.1,,,
Jake LaRavia,81.6,2.9,1.0,0.5,,,,
Derrick Brown,80.8,2.3,1.3,1.0,,,,
Mike Farmer,79.0,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Harthorne Wingo,79.0,3.9,1.4,0.9,0.0,,,
Carey Scurry,78.5,2.6,1.8,0.9,,,,
