"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Sam Dekker,,3.1,1.2,1.0,0.0,0.0
Sam Young,89.9,2.9,1.2,0.9,0.2,
Rowland Garrett,83.9,3.1,1.1,0.8,0.5,-0.1
John Trapp,83.8,3.3,1.2,1.2,0.6,0.0
Willie Reed,82.9,3.6,1.5,1.2,,
Marty Conlon,82.3,3.1,1.4,1.0,0.6,0.3
Charles Jones,82.0,2.9,0.9,0.6,0.1,
Jake LaRavia,81.6,2.9,1.0,0.5,,
Barry Clemens,80.9,2.8,1.7,0.9,0.1,0.1
Lorenzo Williams,80.9,3.1,1.7,1.1,0.4,0.3
Derrick Brown,80.8,2.3,1.3,1.0,,
