"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Max Christie,,2.7,0.7,0.6
Travis Diener,94.3,2.5,0.7,0.6
Mike Barr,93.1,2.7,0.7,0.4
Denzel Valentine,90.3,2.5,0.6,0.5
Anthony Bowie,90.1,2.9,0.7,0.5
Red Holzman,89.2,2.5,0.8,0.8
Ben McLemore,87.5,2.5,0.8,0.3
Troy Brown Jr.,87.4,2.4,0.6,0.5
Bob Wilkerson,87.0,2.9,0.9,0.7
Shelvin Mack,86.8,2.3,0.7,0.5
Harold Ellis,86.5,2.8,0.9,0.9
