"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Al-Farouq Aminu,,5.8,4.2,4.0,3.3,3.1,3.1,1.9,1.4,0.7,0.1,0.1,,
Austin Croshere,93.9,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0,
Phil Hubbard,90.1,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,,,
Billy Owens,90.0,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2,,,
Ken Norman,89.5,5.2,4.8,4.0,4.0,3.2,2.9,1.9,1.1,0.6,-0.6,,,
Chris Wilcox,88.2,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,,
Malik Rose,87.8,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4,0.1,-0.4,-0.5
Dorian Finney-Smith,87.5,6.6,4.9,4.4,3.3,2.9,2.6,2.1,1.4,0.1,,,,
Cliff Robinson,86.9,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,,
Phil Jackson,86.8,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,
Ollie Johnson,85.9,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,,,
