"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Demetrius Jackson,,0.2,0.1,-0.1
Jimmy Oliver,82.5,0.2,0.2,-0.1
Rusty LaRue,66.3,0.3,0.1,-0.1
Randy Livingston,64.7,0.3,0.1,0.0
Devon Dotson,59.3,0.2,0.1,0.0
Gary Payton II,59.0,0.2,0.1,-0.2
Dave Jamerson,58.4,0.2,0.1,-0.1
Mason Jones,55.4,0.2,0.2,0.0
Brandon Goodwin,50.8,0.2,0.1,0.0
Charles Bradley,48.5,0.2,0.2,-0.1
Archie Goodwin,48.4,0.2,0.2,0.1
