"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nikola PekoviÄ,,6.7,5.9,4.5,1.2,0.6,-0.1
Scot Pollard,87.6,6.8,5.4,5.1,1.1,1.0,0.9
Gheorghe MureÈan,85.8,8.0,5.3,4.1,1.3,0.3,-0.1
Ralph Sampson,84.6,6.2,6.0,5.0,2.2,1.1,0.6
Walker Kessler,83.4,7.1,5.4,4.1,,,
Don Otten,82.3,8.5,5.8,4.9,1.7,,
Bob Rule,81.6,7.8,6.4,5.2,2.4,0.5,0.1
Kendrick Perkins,81.2,6.2,5.6,2.3,1.4,0.7,0.1
Jack Nichols,80.7,6.7,4.3,4.1,1.6,0.3,-1.0
Rasho NesteroviÄ,79.9,7.2,5.2,4.1,3.0,1.5,0.0
Ervin Johnson,78.2,6.4,5.2,3.9,3.0,1.3,0.7
