"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
LaMarcus Aldridge,,11.1,10.9,10.1,9.5,9.3,8.8,8.6,7.5,7.2,7.2,7.0,6.2,4.5,3.4,3.1,1.1,
Elvin Hayes,93.0,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1,2.4,0.2,
Horace Grant,91.4,14.1,10.3,10.0,9.5,9.1,8.0,8.0,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2.0,0.2
Chris Bosh,91.3,10.3,10.1,9.8,9.7,9.6,9.6,9.0,8.0,6.9,6.8,6.4,6.2,3.6,,,,
Rasheed Wallace,90.3,11.0,9.7,9.3,8.9,8.5,7.6,7.6,7.1,6.4,6.2,6.2,5.1,5.0,3.6,2.3,0.6,
Detlef Schrempf,89.9,12.9,10.4,10.4,9.8,9.0,8.4,8.2,8.1,8.0,5.8,5.2,4.4,4.0,3.6,0.8,0.5,
Otis Thorpe,89.7,10.4,9.8,9.0,8.9,8.7,8.5,8.1,7.9,7.6,6.0,5.6,4.0,3.8,3.7,2.5,1.1,1.0
Alex English,89.4,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7.0,6.8,5.3,5.1,4.0,1.2,0.6,,
Buck Williams,88.9,11.4,9.2,8.9,8.7,8.5,7.9,7.9,7.7,7.6,7.3,6.8,6.1,6.1,5.2,4.8,3.9,2.1
John Havlicek,88.7,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3,
Dominique Wilkins,88.3,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7.0,5.8,5.1,3.9,3.4,0.3,,
