"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2009-10,22,POR,NBA,C,3.0,0.0,17.0,0.5,2.7,1.0,0.75,0.0,0.25,0.0,0.0,0.5,0.667,,0.0,,,0.5,0.75,2.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,24,IND,NBA,C,4.0,0.0,9.0,0.333,7.2,1.0,0.333,0.333,0.333,0.0,0.0,0.333,1.0,0.0,0.0,,,1.0,0.333,1.0,,,0.0,0.0,
2012-13,25,IND,NBA,PF,9.0,0.0,71.0,0.333,11.1,0.958,0.333,0.083,0.125,0.417,0.042,0.348,0.75,0.0,0.0,0.2,0.0,0.625,0.125,2.0,1.0,0.0,0.0,0.0,
2013-14,26,SAS,NBA,PF,17.0,0.0,65.0,0.462,12.3,1.0,0.154,0.308,0.0,0.538,0.0,0.462,1.0,0.5,,0.286,,0.833,0.0,0.0,,,0.0,0.0,
2014-15,27,SAS,NBA,PF,3.0,0.0,12.0,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,
2015-16,28,LAC,NBA,C,2.0,0.0,2.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,38.0,0.0,176.0,0.391,5.6,0.978,0.348,0.152,0.109,0.37,0.022,0.4,0.75,0.286,0.0,0.235,0.0,0.722,0.196,6.0,1.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,380.0,0.391,5.6,0.978,0.348,0.152,0.109,0.37,0.022,0.4,0.75,0.286,0.0,0.235,0.0,0.722,0.196,13.0,1.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,20.0,0.0,77.0,0.429,6.2,1.0,0.214,0.286,0.0,0.5,0.0,0.429,0.667,0.5,,0.286,,0.833,0.071,0.0,,,0.0,0.0,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,13.0,0.0,80.0,0.333,9.1,0.963,0.333,0.111,0.148,0.37,0.037,0.346,0.778,0.0,0.0,0.2,0.0,0.667,0.148,3.0,1.0,0.0,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,3.0,0.0,17.0,0.5,2.7,1.0,0.75,0.0,0.25,0.0,0.0,0.5,0.667,,0.0,,,0.5,0.75,2.0,,,0.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,2.0,0.0,2.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.0,0.0,
